geo\TIME_PERIOD	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 
Austria	84.0 	84.8 	85.9 	85.9 	84.9 	85.6 	84.7 	82.2 	82.8 	81.3 	81.3 	80.1 	78.5 	77.4 	76.7 	75.8 	74.1 	72.9 	72.0 	71.2 	70.6 	73.1 	82.1 	78.5 	83.3 	87.1 	86.4 	84.5 	83.0 	84.1
Belgium	107.0 	111.0 	109.1 	108.3 	105.2 	108.4 	108.6 	107.7 	105.0 	106.2 	104.8 	105.7 	102.0 	105.0 	104.2 	103.5 	99.8 	102.8 	101.8 	101.3 	97.7 	102.8 	113.2 	112.1 	112.8 	117.0 	113.8 	111.5 	108.4 	107.9
Bulgaria	27.0 	28.7 	27.9 	26.5 	25.9 	29.3 	29.1 	28.5 	29.1 	28.2 	27.8 	25.5 	25.1 	23.8 	23.3 	22.6 	22.1 	20.7 	20.1 	20.3 	20.0 	19.9 	21.2 	25.0 	24.7 	24.7 	24.7 	24.2 	25.1 	22.9
Cyprus	109.1 	108.2 	110.3 	109.7 	107.2 	106.9 	105.1 	107.1 	103.1 	101.8 	101.1 	97.8 	92.9 	90.1 	99.7 	106.3 	98.4 	100.3 	103.4 	93.8 	91.1 	93.2 	109.6 	115.7 	115.0 	120.9 	111.4 	109.0 	103.6 	104.9
Czech_Republic	41.9 	41.6 	40.7 	40.1 	39.7 	39.7 	39.2 	38.1 	36.6 	39.7 	39.1 	34.7 	34.2 	35.3 	34.8 	33.4 	32.1 	33.4 	32.5 	31.3 	30.0 	32.4 	39.6 	38.1 	37.6 	43.9 	42.6 	40.4 	42.0 	42.8
Germany	75.3 	75.0 	73.2 	72.6 	71.9 	71.6 	70.9 	70.2 	69.0 	67.4 	66.8 	65.9 	64.6 	63.5 	62.4 	62.1 	61.2 	61.0 	60.4 	60.3 	58.9 	60.1 	66.4 	69.0 	68.7 	69.9 	69.6 	69.3 	69.3 	68.2
Denmark	44.3 	43.6 	42.0 	41.2 	39.8 	39.1 	39.2 	38.4 	37.2 	36.2 	36.2 	36.1 	35.9 	35.5 	35.0 	34.9 	34.0 	33.5 	34.9 	34.4 	33.7 	33.3 	41.4 	42.0 	42.2 	40.7 	40.0 	39.5 	36.6 	32.9
Estonia	10.6 	10.2 	10.1 	10.0 	10.1 	9.5 	9.3 	9.3 	10.0 	9.5 	9.2 	9.1 	9.1 	8.8 	8.6 	8.4 	8.2 	7.9 	9.2 	9.1 	8.6 	9.1 	18.8 	19.1 	19.0 	19.6 	19.6 	19.7 	18.1 	17.6
Greece	180.3 	171.2 	170.3 	172.6 	176.7 	176.1 	179.9 	177.3 	180.5 	177.5 	176.1 	177.0 	179.5 	181.7 	181.5 	187.3 	186.4 	187.5 	185.3 	182.8 	180.7 	180.8 	191.7 	200.0 	206.3 	209.3 	207.5 	201.6 	193.3 	189.3
Spain	105.1 	105.2 	104.6 	104.4 	103.3 	104.6 	104.5 	103.7 	102.8 	103.7 	103.3 	102.4 	101.9 	102.4 	101.7 	101.9 	100.5 	101.3 	101.3 	100.3 	98.3 	102.0 	113.2 	117.0 	120.0 	125.2 	122.7 	121.7 	118.4 	117.7
Finland	64.5 	65.6 	67.0 	65.5 	68.3 	68.9 	66.4 	66.2 	68.0 	67.9 	67.1 	65.4 	66.0 	64.9 	64.7 	64.2 	64.9 	64.7 	66.8 	65.4 	64.9 	69.6 	74.1 	72.3 	74.8 	75.6 	74.5 	73.8 	72.3 	71.9
France	94.9 	96.8 	97.0 	96.4 	95.6 	98.5 	99.5 	98.8 	98.0 	100.3 	100.8 	99.8 	98.1 	98.7 	98.6 	98.8 	97.8 	98.8 	98.5 	99.4 	97.4 	100.6 	112.9 	115.1 	114.6 	117.3 	113.7 	115.0 	112.5 	114.4
Croatia	83.9 	86.0 	84.0 	84.0 	83.3 	81.8 	80.6 	80.7 	79.8 	82.2 	77.8 	77.7 	76.7 	75.5 	75.3 	73.7 	73.3 	73.1 	74.1 	72.9 	71.1 	72.1 	82.6 	84.7 	87.3 	90.1 	86.2 	82.7 	79.8 	77.3
Hungary	76.5 	77.5 	79.2 	78.5 	75.7 	77.3 	75.7 	75.0 	74.8 	75.1 	74.4 	73.0 	72.1 	72.3 	72.5 	70.9 	69.1 	68.3 	67.1 	67.1 	65.5 	65.7 	70.0 	73.5 	79.6 	80.2 	76.3 	79.0 	76.6 	77.4
Ireland	104.3 	96.1 	90.1 	83.4 	76.7 	78.5 	75.8 	76.4 	74.3 	75.8 	75.0 	72.5 	67.6 	68.3 	67.9 	66.7 	63.0 	64.6 	63.0 	61.2 	57.2 	58.7 	62.1 	61.1 	58.4 	60.5 	58.9 	57.4 	55.3 	53.1
Italy	135.4 	138.2 	138.8 	137.4 	135.3 	137.8 	138.2 	135.3 	134.8 	136.5 	137.5 	137.0 	134.2 	135.6 	136.0 	136.0 	134.4 	136.0 	137.2 	136.4 	134.1 	137.2 	149.0 	153.9 	155.3 	159.3 	155.7 	154.6 	150.8 	152.6
Lithuania	40.5 	37.9 	37.5 	38.1 	42.5 	39.7 	39.6 	40.8 	39.7 	38.8 	41.3 	38.9 	39.1 	35.6 	34.6 	34.5 	33.7 	33.6 	35.6 	35.4 	35.9 	32.8 	41.1 	45.4 	46.6 	45.1 	44.6 	45.1 	44.3 	40.3
