freq,na_item,sector,unit,geo\TIME_PERIOD	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 
Q,GD,S13,PC_GDP,AT	81.4 	82.5 	80.9 	84.0 	84.8 	85.9 	85.9 	84.9 	85.6 	84.7 	82.2 	82.8 	81.3 	81.3 	80.1 	78.5 	77.4 	76.7 	75.9 	74.1 	72.9 	72.0 	71.3 	70.6 	73.1 	81.9 	78.4 	82.9 	86.6 	85.7 	83.6 	82.3 	83.4	82.7
Q,GD,S13,PC_GDP,BE	110.1 	110.5 	109.8 	107.0 	111.0 	109.1 	108.3 	105.2 	108.4 	108.6 	107.7 	105.0 	106.2 	104.8 	105.7 	102.0 	105.0 	104.2 	103.5 	99.9 	102.9 	101.9 	101.3 	97.6 	102.5 	112.6 	111.3 	112.0 	116.3 	113.6 	111.9 	109.2 	109.0	108.3
Q,GD,S13,PC_GDP,BG	18.4 	19.4 	22.7 	27.0 	28.7 	27.9 	26.5 	25.9 	29.3 	29.1 	28.5 	29.1 	28.2 	27.8 	25.5 	25.1 	23.8 	23.3 	22.6 	22.1 	20.7 	20.1 	20.3 	20.0 	20.0 	21.1 	24.9 	24.5 	24.2 	24.1 	23.3 	23.9 	22.0	21.3
Q,GD,S13,PC_GDP,CY	103.1 	110.7 	105.9 	108.8 	107.9 	110.0 	109.4 	106.8 	106.6 	104.7 	106.7 	102.6 	101.3 	100.7 	97.4 	92.6 	89.7 	99.4 	105.9 	98.1 	100.0 	103.1 	93.4 	90.4 	92.2 	108.3 	114.6 	113.5 	118.8 	109.6 	106.5 	101.1 	102.1	95.2
Q,GD,S13,PC_GDP,CZ	43.9 	42.9 	42.4 	41.9 	41.6 	40.7 	40.1 	39.7 	39.7 	39.2 	38.1 	36.6 	39.7 	39.1 	34.7 	34.2 	35.3 	34.8 	33.4 	32.1 	33.4 	32.5 	31.3 	30.0 	32.4 	39.6 	38.1 	37.7 	43.9 	42.6 	40.4 	42.0 	42.9	43.5
Q,GD,S13,PC_GDP,DE	77.0 	76.6 	75.9 	75.3 	75.0 	73.2 	72.6 	71.9 	71.6 	70.9 	70.2 	69.0 	67.4 	66.8 	65.9 	64.6 	63.5 	62.4 	62.1 	61.3 	61.1 	60.5 	60.4 	58.9 	60.0 	66.1 	68.5 	68.0 	69.0 	68.7 	68.6 	68.6 	67.4	67.2
Q,GD,S13,PC_GDP,DK	44.3 	44.4 	45.8 	44.3 	43.6 	42.0 	41.2 	39.8 	39.1 	39.2 	38.4 	37.2 	36.2 	36.2 	36.1 	35.9 	35.5 	35.0 	34.9 	34.0 	33.5 	34.9 	34.4 	33.7 	33.3 	41.4 	42.1 	42.2 	40.7 	40.0 	39.5 	36.6 	33.0	31.7
Q,GD,S13,PC_GDP,EE	10.6 	10.6 	10.6 	10.6 	10.2 	10.1 	10.0 	10.1 	9.5 	9.3 	9.3 	10.0 	9.5 	9.2 	9.1 	9.1 	8.8 	8.6 	8.3 	8.2 	7.9 	9.2 	9.1 	8.5 	9.0 	18.7 	18.8 	18.5 	19.2 	19.1 	19.1 	17.6 	17.2	16.7
Q,GD,S13,PC_GDP,EL	179.2 	181.8 	180.0 	180.3 	171.2 	170.3 	172.6 	176.7 	176.1 	179.9 	177.3 	180.5 	177.5 	176.1 	177.0 	179.5 	181.7 	181.5 	187.3 	186.4 	187.5 	185.3 	182.8 	180.7 	180.8 	191.7 	200.0 	206.4 	209.3 	207.5 	201.6 	193.3 	188.4	182.1
Q,GD,S13,PC_GDP,ES	103.1 	104.2 	104.5 	105.1 	105.2 	104.5 	104.3 	103.3 	104.5 	104.4 	103.7 	102.7 	103.6 	103.3 	102.4 	101.8 	102.3 	101.7 	101.8 	100.4 	101.3 	101.2 	100.2 	98.2 	101.9 	113.3 	117.3 	120.4 	125.7 	123.1 	121.9 	118.3 	117.4	116.1
Q,GD,S13,PC_GDP,FI	62.1 	63.4 	62.7 	64.5 	65.6 	67.0 	65.5 	68.3 	68.9 	66.4 	66.2 	68.0 	67.9 	67.1 	65.4 	66.0 	64.9 	64.7 	64.2 	64.9 	64.7 	66.8 	65.4 	64.9 	69.6 	74.1 	72.3 	74.8 	75.6 	74.5 	73.8 	72.4 	72.1	71.6
